google_place_type,category_name_es,category_description_es
museum,Museos,Espacios dedicados a la exhibición de arte, historia y ciencia.
art_gallery,Galerías de Arte,Lugares para ver y comprar obras de arte.
landmark,Puntos de Interés,Monumentos históricos o lugares icónicos de la ciudad.
tourist_attraction,Atracciones Turísticas,Lugares populares de visita para viajeros y locales.
historic_site,Sitios Históricos,Lugares preservados por su valor histórico.
church,Iglesias y Templos,Edificios de interés arquitectónico o religioso.
performing_arts_theater,Teatros,Lugares para ver obras, conciertos y artes escénicas.
amusement_park,Parques de Diversiones,Lugares con juegos mecánicos y entretenimiento familiar.
zoo,Zoológicos,Parques que albergan diversas especies de animales.
aquarium,Acuarios,Exhibiciones de vida marina y acuática.
stadium,Estadios,Recintos para eventos deportivos y conciertos masivos.
movie_theater,Cines,Salas para ver películas y estrenos.
night_club,Vida Nocturna,Bares y clubes para bailar y socializar.
park,Parques y Plazas,Áreas verdes públicas para el ocio, deporte y recreación.
natural_feature,Maravillas Naturales,Formaciones naturales como montañas, lagos o cañones.
campground,Zonas de Acampar,Lugares designados para acampar o hacer glamping.
restaurant,Restaurantes,Lugares para comer, desde comida rápida hasta alta cocina.
cafe,Cafeterías,Lugares para tomar café, té y postres.
bar,Bares y Cantinas,Establecimientos para tomar bebidas alcohólicas y botanas.
bakery,Panaderías,Venta de pan, pasteles y postres.